"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","X-AUTH-TOKEN no presents","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","5008","Comment form should not freeze the page on submission","chromium","Wed Jul 09 00:21:04 GMT 2025","passed","Wed Jul 09 00:21:09 GMT 2025","Карточка товара","store.spec.js","",""
"","40","Content too long","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","29","Unsupported content type","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","28","Fail to update an existing todo because title is missing","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","29","Max out content","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","30","Create a todo using Content-Type `application/json`","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","30","Successfully update a todo","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","27","Return ANY response","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
"","28","Extra","chromium","Wed Jul 09 00:20:30 GMT 2025","passed","Wed Jul 09 00:20:30 GMT 2025","API challenge","api.spec.js","",""
"","11265","Password retrieval does not work on AcademyBugs","chromium","Wed Jul 09 00:20:38 GMT 2025","passed","Wed Jul 09 00:20:49 GMT 2025","Аккаунт","forgotPassword.spec.js","",""
"","31","Filter only done todos","chromium","Wed Jul 09 00:20:32 GMT 2025","passed","Wed Jul 09 00:20:32 GMT 2025","API challenge","api.spec.js","",""
"","8793","Changing currency should not freeze the page","chromium","Wed Jul 09 00:20:49 GMT 2025","passed","Wed Jul 09 00:20:58 GMT 2025","Карточка товара","store.spec.js","",""
"","28","Successfully delete a todo","chromium","Wed Jul 09 00:20:31 GMT 2025","passed","Wed Jul 09 00:20:31 GMT 2025","API challenge","api.spec.js","",""
